RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
92,Sam Houston St.,Slnd,106.8,103.7,51,50.4,21,20.9,35.4,32.3,42,47.4,70.7,64.8,48.5,49.5,36.7,34.8
,,,97,206,92,228,198,149,81,152,38,327,106,15,147,232,65,204
93,Alabama St. 16,SWAC,98.9,102,51,43.3,20.5,19.7,34.2,35.9,35.9,33.8,63,66.4,52.2,42.8,32.3,29.7
,,,225,171,93,4,174,218,115,285,190,115,316,45,36,21,251,9
94,Vanderbilt,SEC,106.9,95.7,50.9,45.8,22.1,18.5,33.7,29.5,43.8,31.7,71.6,69.6,50.9,42,33.9,35.7
,,,96,54,94,39,245,296,136,45,22,64,81,213,66,12,171,258
95,Tennessee 9,SEC,115.3,97.5,50.9,50.6,18.6,21.1,37.9,31,36.7,36.8,67.6,68.5,52.9,50.7,31.5,33.7
,,,20,73,95,239,57,136,30,97,168,185,216,143,24,273,281,140
96,Air Force,MWC,98.5,102.6,50.9,49.8,22.7,19.4,24.4,30.3,42.3,41.4,67.4,73.7,47.8,48.1,37.1,34.6
,,,232,184,96,202,276,247,336,72,34,275,227,341,177,166,55,189
97,Villanova 3,BE,114.6,91.2,50.8,47.3,19,21.7,36.1,29.9,41.9,38.7,75.3,67.8,49.8,45,35.2,33.7
,,,22,14,97,87,70,108,62,59,40,229,18,101,95,58,115,136
98,James Madison,CAA,104,103.2,50.8,47.8,20.5,19.3,30.4,32.8,37.4,33.5,75.6,69,49.9,49,34.8,30.5
,,,140,194,98,106,170,249,251,175,150,104,15,174,89,213,130,21
99,Southern Utah,Sum,100,106.2,50.8,53.7,23.1,20.7,31.3,28.7,39.4,38.9,79.9,71.3,48.8,55.7,37.9,33
,,,212,255,99,326,289,163,226,29,91,234,1,290,135,340,37,96
100,USC 10,P10,110,91.5,50.8,46.3,21.2,19.9,37.3,31.1,42.2,32.7,67.4,70.7,51.3,44.1,32.6,33.6
,,,62,16,100,51,211,201,36,102,36,84,224,268,57,35,236,130
101,The Citadel,SC,100.9,103.3,50.7,48.3,20,18.6,31.1,29.5,34.1,36.1,71.7,72.4,50.6,48,34,32.7
,,,194,197,101,126,134,288,233,48,227,168,80,319,74,155,164,81
102,East Tennessee St. 16,ASun,104.9,100.3,50.7,48,18.9,22.7,32.1,31.6,39.5,32.4,70.6,69.2,50.8,46.9,33.6,33
,,,119,136,102,116,66,60,190,124,86,78,109,192,68,115,186,99
103,Providence,BE,111.4,100.7,50.6,50.5,19.8,20.2,36.9,36.1,39.5,29.1,67.9,69.6,51.9,50.1,32.1,34.2
,,,47,141,103,235,121,189,47,293,88,23,202,215,43,255,257,168
104,Duke 2,ACC,117.6,93.3,50.5,47.8,17.6,23.5,37.4,33.2,41.4,31,72.8,68.9,49.6,46.7,34.9,33.8
,,,7,29,104,107,24,33,33,200,44,54,53,167,103,105,124,142
105,Boston University,AE,102.9,103.7,50.5,48.3,20.6,20.5,32.8,34.7,35.1,32.1,68.3,66.2,47.6,48.1,36.1,32.5
,,,152,207,105,127,178,171,162,252,203,74,188,37,184,167,82,68
106,Massachusetts,A10,104.6,102.3,50.5,50,20,18.9,28.7,34.4,28.8,29.5,69.4,68.6,48,48.8,36,35.2
,,,126,175,106,211,139,276,285,241,328,30,154,146,169,207,88,234
107,Texas A&M 9,B12,113.5,97.9,50.4,48.8,19.2,18.3,36.2,29.7,46.5,30.1,69,69,48.7,46.3,36.2,36.4
,,,28,82,107,150,84,304,59,54,5,36,168,180,140,94,79,282
108,Chattanooga 16,SC,103,107.9,50.4,52.7,21.5,19.3,33,31.8,46.3,31,65.3,65,49.5,51.3,34.5,36.3
,,,148,284,108,309,218,250,153,130,8,53,281,18,108,294,140,278
109,Rider,MAAC,104.8,105.6,50.3,49.4,19.9,20.3,32.2,33.6,33.1,35.1,67.4,65.2,48.9,48,35.3,34.7
,,,122,248,109,177,129,181,186,219,258,144,226,20,129,158,112,194
110,Davidson,SC,103,92.7,50.3,45,17.5,23.6,33.8,30.9,33.1,41.4,69.7,69.2,48.3,43.1,35.6,32.4
,,,150,21,110,28,21,29,135,90,256,276,142,193,152,24,98,62
111,Tennessee Martin,OVC,107.5,104.5,50.3,50.2,18.3,22.3,36.7,36,31.1,36.8,73.6,66.1,51.4,49.3,32.4,34.8
,,,87,225,111,220,47,78,54,290,298,187,38,34,54,224,245,209
112,Auburn,SEC,107.1,93.6,50.3,48,18.5,23,31.1,30.4,37.6,37,60.7,66.1,50.4,46.5,33.5,33.5
,,,89,35,112,117,52,52,234,75,144,192,339,36,76,99,189,125
113,Idaho St.,BSky,102.3,104.1,50.3,49.4,20.3,19,30.6,32.8,38.2,44.3,69.1,71.8,50.3,47.9,33.5,34.7
,,,167,214,113,178,155,272,246,174,125,307,166,308,83,149,192,197
114,South Carolina,SEC,107.1,95.4,50.3,48,18.2,26.1,34.1,36.7,33.7,36.7,63.9,71.4,48,47.4,37.1,33.2
,,,90,51,114,118,44,6,119,308,238,181,304,295,166,134,53,107
115,Iowa St.,B12,102.5,97.2,50.3,47.3,18.5,16.1,23.2,27.6,28.3,28.1,69.9,69.3,49.1,45.7,34.7,33.6
,,,159,70,115,88,51,339,339,16,332,16,137,197,121,76,133,128
116,UNC Asheville,BSth,100.5,110.7,50.3,52.6,22.5,19.8,31.3,37.3,36.6,34.8,69.4,67.4,47.8,51.3,36.6,36.8
,,,203,314,116,306,269,210,224,321,172,137,155,84,178,295,67,298
117,Texas Tech,B12,109.3,100.9,50.3,50.3,19.7,17.9,28.1,32.5,37.6,41.8,73.3,70.5,47.9,48.8,36.9,35.6
,,,67,145,117,225,109,318,306,166,145,281,44,254,172,208,62,251
118,Fresno St.,WAC,99.6,102.7,50.2,49.1,21.2,19.9,30.1,35.3,36.5,30.9,66.7,69.3,49.2,48.8,34.5,33.2
,,,217,186,118,161,213,202,257,273,175,51,246,198,117,203,139,109
119,Nebraska,B12,102.8,91.3,50.2,49.5,18,27.1,23,32.9,38.2,39.5,70.2,69.1,48,48.6,36.1,33.9
,,,154,15,119,181,33,2,340,184,126,245,125,183,167,194,80,151
120,Michigan 10,B10,111.4,96.1,50.2,49,18,21.3,28.7,33.2,28.4,29.8,75.7,72.5,50.3,50,33.4,31.4
