RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
78,Sr,Max Abmas,Texas,B12,87.3,4.3,4.4,112.0,24.2,52.6,56.6,1.2,8.9,22.6,15.6,0.3,1.6,21.9,0.505,0.362
80,Sr,Jarod Lucas,Nevada,MWC,82.1,4.3,4.7,118.5,23.5,51.2,58.5,1.8,8.2,9.1,7.4,0.0,1.4,42.4,0.441,0.395
82,So,Donovan Clingan,Connecticut,BE,47.5,4.3,14.0,131.2,24.8,65.2,64.4,14.4,24.2,14.1,9.2,11.6,1.3,51.4,0.656,0.333
83,Jr,Great Osobor,Utah St.,MWC,84.2,4.3,6.8,111.9,27.1,58.0,60.3,9.6,20.9,16.1,17.3,4.6,2.2,77.3,0.591,0.167
84,Sr,Isaac Jones,Washington St.,P12,78.9,4.3,6.7,117.7,23.6,57.7,61.4,8.5,19.0,9.8,15.3,3.3,1.0,55.8,0.596,0.071
85,Sr,J'Vonne Hadley,Colorado,P12,82.6,4.3,5.8,127.0,15.6,57.6,63.8,5.4,15.2,12.1,13.8,0.8,2.0,52.3,0.565,0.417
86,Sr,Tyrece Radford,Texas A&M,SEC,70.2,4.3,5.3,113.4,25.5,44.9,48.6,7.8,13.6,17.7,9.8,0.5,0.9,32.1,0.461,0.28
87,Sr,Tristan da Silva,Colorado,P12,77.3,4.3,6.3,118.0,21.2,57.3,60.6,3.6,13.7,13.4,14.5,1.7,2.0,25.8,0.559,0.395
89,Sr,Kevin McCullar Jr.,Kansas,B12,64.5,4.2,6.2,107.5,27.1,50.6,56.4,2.8,15.7,21.8,15.1,1.1,2.4,42.3,0.504,0.339
90,Sr,Caleb Love,Arizona,P12,79.0,4.2,7.5,114.1,25.0,50.8,55.1,2.4,13.7,18.5,13.7,1.0,1.9,27.5,0.5,0.343
92,Jr,Johni Broome,Auburn,SEC,61.9,4.2,13.3,118.5,29.7,58.3,59.5,11.6,25.8,18.9,12.2,9.3,2.0,45.7,0.596,0.354
93,Sr,Dae Dae Grant,Duquesne,A10,76.1,4.2,4.6,116.8,24.0,48.6,56.0,2.9,9.1,15.3,9.8,0.5,1.8,36.3,0.461,0.336
96,Fr,Ja'Kobe Walter,Baylor,B12,79.6,4.2,4.4,115.5,22.1,47.6,54.4,5.5,12.3,8.2,11.2,0.8,2.0,48.9,0.419,0.346
98,Jr,Johnell Davis,Florida Atlantic,Amer,78.9,4.2,5.9,114.0,27.2,54.9,59.9,5.1,16.6,17.6,18.7,0.7,2.6,34.8,0.515,0.414
99,Jr,Vladislav Goldin,Florida Atlantic,Amer,61.2,4.2,7.6,125.8,25.6,67.3,68.1,11.6,19.5,6.2,14.5,6.8,1.2,62.0,0.673,0.0
103,Fr,Josh Hubbard,Mississippi St.,SEC,68.7,4.1,6.7,116.3,26.9,49.8,54.8,1.1,7.8,13.5,9.4,0.5,1.4,29.9,0.437,0.355
105,Jr,Graham Ike,Gonzaga,WCC,60.5,4.1,6.1,122.8,28.1,60.6,64.0,11.5,21.5,7.0,13.6,2.8,1.4,37.3,0.616,0.231
108,Fr,Reed Sheppard,Kentucky,SEC,71.5,4.1,10.9,127.6,18.7,67.9,69.9,1.5,13.3,24.0,20.0,2.5,4.6,24.7,0.555,0.521
109,Fr,Jared McCain,Duke,ACC,77.7,4.1,7.2,122.5,19.3,57.9,61.0,2.8,15.5,10.4,11.6,0.2,2.1,21.5,0.525,0.415
110,Sr,RayJ Dennis,Baylor,B12,84.7,4.1,4.0,109.0,25.0,52.8,55.6,1.8,12.4,37.4,24.5,0.2,2.2,28.7,0.541,0.333
111,Sr,Coleman Hawkins,Illinois,B10,71.5,4.1,8.9,121.3,18.6,55.1,58.9,5.1,15.8,14.6,15.9,3.1,2.7,30.6,0.536,0.378
118,Jr,Steven Crowl,Wisconsin,B10,71.8,4.1,6.2,120.9,20.2,60.2,62.6,9.9,21.5,14.4,17.0,1.8,0.6,31.9,0.584,0.448
122,Jr,Jaylen Wells,Washington St.,P12,70.5,4.0,6.4,125.4,18.9,54.5,58.4,5.0,13.1,7.9,7.4,0.5,1.1,29.8,0.457,0.417
124,Jr,Walter Clayton Jr.,Florida,SEC,76.2,4.0,6.0,115.9,23.9,52.9,58.3,1.6,10.4,15.0,16.3,1.8,1.9,33.2,0.512,0.362
126,Jr,Ian Schieffelin,Clemson,ACC,67.1,4.0,8.1,129.0,18.7,62.2,64.7,12.7,27.0,15.1,14.8,2.1,1.2,38.1,0.591,0.5
129,Sr,DJ Horne,North Carolina St.,ACC,77.9,4.0,5.6,114.5,23.5,53.7,56.5,1.7,10.3,13.0,9.9,0.5,2.4,20.5,0.469,0.408
