ï»¿RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
599,Fr,Anthony Lamb,Vermont,AE,56.5,2.3,3.0,106.7,30.1,55.0,58.0,11.0,18.6,6.3,18.0,5.7,2.2,31.5,0.535,0.41
600,Jr,Tyler Wideman,Butler,BE,57.0,2.3,3.0,117.0,16.6,61.5,63.0,11.6,16.0,3.6,17.5,4.0,1.5,51.9,0.623,0.0
604,Jr,Jo Lual-Acuil Jr.,Baylor,B12,65.9,2.3,6.0,110.8,17.4,56.4,55.6,10.9,19.2,2.7,14.1,10.4,0.8,39.0,0.571,0.333
605,Jr,Ahmed Hill,Virginia Tech,ACC,73.6,2.3,1.5,110.1,17.7,55.3,58.4,1.3,11.1,7.5,12.2,0.6,0.5,34.4,0.542,0.373
611,Fr,Kevin Huerter,Maryland,B10,74.1,2.3,6.9,110.7,16.4,54.3,55.4,2.7,16.0,17.9,16.8,2.4,1.9,11.0,0.494,0.379
619,Jr,Chris Chiozza,Florida,SEC,54.8,2.3,6.5,110.8,19.6,48.8,54.2,2.1,14.6,30.8,20.4,0.0,3.4,39.8,0.5,0.316
623,Sr,Cole Huff,Creighton,BE,58.2,2.3,4.5,118.8,15.7,58.7,61.8,2.6,15.4,4.4,9.7,0.5,1.0,24.9,0.442,0.462
624,So,PJ Dozier,South Carolina,SEC,68.8,2.3,6.0,96.2,28.0,44.5,46.6,4.1,15.5,23.0,15.9,1.2,3.3,28.0,0.452,0.285
633,Sr,Mangok Mathiang,Louisville,ACC,50.1,2.2,5.1,113.3,20.0,53.1,55.8,13.7,18.2,6.4,16.1,6.1,1.4,38.8,0.531,0.0
634,So,Ernie Duncan,Vermont,AE,68.9,2.2,3.5,120.5,15.1,55.1,57.3,1.5,8.6,13.6,10.8,0.3,1.3,15.0,0.389,0.4
640,Sr,Leyton Hammonds,Oklahoma St.,B12,56.6,2.2,3.0,115.2,16.2,52.1,55.6,6.6,19.0,5.3,15.5,2.1,1.6,21.6,0.528,0.343
646,Sr,Duane Notice,South Carolina,SEC,81.0,2.2,4.1,108.0,15.9,50.2,52.7,2.9,6.0,14.3,15.8,0.6,1.7,30.9,0.471,0.345
652,Jr,Parker Jackson-Cartwright,Arizona,P12,52.2,2.2,5.7,117.7,15.1,54.1,57.4,1.7,9.6,28.0,21.1,0.6,2.8,40.6,0.435,0.423
656,So,Kevarrius Hayes,Florida,SEC,45.3,2.2,7.8,121.6,16.0,60.2,63.1,11.8,15.4,2.0,14.6,9.3,2.2,78.9,0.606,0.0
659,Fr,Justin Jackson,Maryland,B10,70.0,2.2,3.9,105.7,19.6,52.9,56.0,7.3,16.4,6.3,17.5,3.0,1.8,36.2,0.443,0.441
660,Fr,Kyle Guy,Virginia,ACC,45.9,2.2,6.9,114.8,20.7,56.3,57.8,1.0,10.4,15.2,10.6,0.2,1.4,17.1,0.382,0.495
